Registrant ID,Registrant Name,candidate_match_name,candidate_id,entityId,reportId1
00105792,Friends of Clinton Anderson,Clinton Anderson,c-anderson1,16373,135590
00105751,Crowley for Wisconsin,David Crowley,d-crowley1,16295,136096
00105728,Friends of Rob Summerfield,Rob Summerfield,r-summerfield1,16005,136292
00105714,Zimmerman for Wisconsin,Shannon Zimmerman,s-zimmerman1,15969,135619
00105660,Friends of Cindi Duchow,Cindi Duchow,c-duchow1,16901,135879
00105580,Richard Pulcher State Senate Campaign,Richard Pulcher,r-pulcher1,1148835,
00105544,Taxpayers for Sortwell,Shae Sortwell,s-sortwell1,663883,135108
00105539,Steffen for Wisconsin,David Steffen,d-steffen1,15669,135421
00105512,Joel Kitchens for Assembly,Joel Kitchens,j-kitchens1,17342,135219
00105503,Novak For Assembly,Todd Novak,t-novak1,17280,136070
00105505,Quinn for Senate,Romaine Robert Quinn,r-quinn1,17271,136127
00105472,Friends of Mark Spreitzer,Mark Spreitzer,m-spreitzer1,16972,136059
00105466,Friends of Lisa Subeck,Lisa Subeck,l-subeck1,16953,135694
00105423,Adam Neylon for Assembly,Adam Neylon,a-neylon1,17043,136353
00105385,Sandy Bakk for Wisconsin,Sandy Bakk,s-bakk1,5296411,135699
00105275,Nancy 4 Wisconsin,Nancy VanderMeer,n-vandermeer1,15590,135334
00105273,Friends of Swearingen,Rob Swearingen,r-swearingen1,15572,136193
00105266,Mandela for Wisconsin,Mandela Barnes,m-barnes1,15552,136335
00105237,Taxpayers for John Jagler,John Jagler,j-jagler1,17164,135260
00105215,Friends of Pat Snyder,Patrick Snyder,p-snyder1,17078,135836
00105189,Born For Assembly,Mark Born,m-born1,16575,135368
00105123,Billings for Assembly,Jill Billings,j-billings1,15842,135383
00105023,Sanchez For A Better Tomorrow,Angel Sanchez,a-sanchez1,2159346,136283
00105008,Pete for Wisconsin,Pete Karas,p-karas1,10042337,135212
00104991,Friends of Chris Larson,Chris J. Larson,c-larson1,16833,136320
00104989,JoCasta for WI,JoCasta Zamarripa,j-zamarripa1,16798,136296
00104973,Friends of Dianne Hesselbein,Dianne Hesselbein,d-hesselbein1,16771,135525
00104954,Spiros for Assembly,John Spiros,j-spiros1,16730,135233
00104915,Severson for Senate ,Erik Severson,e-severson1,16291,135425
00104912,Citizens for August,Tyler August,t-august1,16263,135611
00104883,Taxpayers for Kapenga,Chris Kapenga,c-kapenga1,15522,135583
00104815,Taxpayers for Marklein,Howard Marklein,h-marklein1,16358,136103
00104632,Tara for Wisconsin,Tara Johnson,t-johnson1,16547,135724
00104606,Friends of Kelda Roys,Kelda Roys,k-roys1,15992,136394
00104591,Tranel for Assembly,Travis Tranel,t-tranel1,15899,135089
00104514,Friends of Paul Tittl,Paul Tittl,p-tittl1,16158,136319
00104405,Danou for Wisconsin,Chris Danou,c-danou1,17086,136257
00104355,Mursau for Assembly,Jeffrey L. Mursau,j-mursau1,15735,135775
00104251,Together With Jeff Smith,Jeff Smith,j-smith1,17261,135994
00104212,Tiffany for Wisconsin,Tom Tiffany,t-tiffany1,16621,135759
00104141,Krug for Assembly,Scott Krug,s-krug1,16180,136311
00104003,Melotik for State Assembly,Paul Melotik,p-melotik1,664015,135378
00103687,Friends of Christine Sinicki,Christine M. Sinicki,c-sinicki1,15747,136214
00102969,Kreibich for Assembly,Rob Kreibich,r-kreibich1,663805,135272
00101856,Friends Of Steve Doyle,Steve Doyle,s-doyle1,16691,135880
00101815,Lorge For Assembly,Bill Lorge,b-lorge1,3100807,136041
00101520,Donovan for Assembly,Bob Donovan,b-donovan1,16491,135518
00100881,Friends of Tim Carpenter,Tim Carpenter,t-carpenter1,16087,135584
